term,tfidf_score
better,0.001690390938034917
rs,0.0016898321801746279
mentioned,0.0016792669729065908
disappointing,0.001676758796381642
pending,0.0016731219638174888
tried,0.0016731182028385005
delivery time,0.0016657136730877107
speak,0.0016586072650271269
ki,0.0016561829953638863
delivery person,0.0016483959935768026
solve issue,0.001645459872582704
charges,0.0016439596791918626
conversation,0.0016221712723063716
care executive,0.0016204396281663369
hell,0.001616702951724962
delivering,0.0016159649844250013
courier,0.0016112343791974907
sending,0.0016040530806917224
damaged product,0.0016032662182321792
gave,0.0015929122085610711
aap,0.0015919305662659457
packaging,0.0015880263300148967
technical,0.0015844374668920007
wasted,0.0015821684088054224
duplicate,0.0015810609761037933
sent,0.001578235424824327
way,0.001577552174233705
sell,0.0015767017214994268
brand,0.0015669883147135498
came,0.0015661043974156477
immediately,0.0015656466471646925
does,0.001564947879884455
having,0.001563151228922382
resolved issue,0.0015608284025786423
dissatisfied,0.0015500680557059391
sure,0.00154493314518887
shopzilla pay,0.0015412749138385205
understand problem,0.0015402929241581913
order cancelled,0.0015390489013008268
pathetic experience,0.0015356106944814309
kar,0.0015329719684880382
reason,0.0015260803526203615
shopzilla bad,0.0015250245603083943
worst app,0.0015162593586855217
placed,0.0015154931872162077
august,0.0015140618126146524
lost,0.0015135460133711284
late,0.001505403163934219
pathetic customer,0.00150525041844423
faced,0.001503191932049859
price,0.0014893151753041286
false,0.00148789902976655
right,0.0014867206599348175
remove,0.0014845444362936886
ho,0.0014842169593538537
slow,0.0014767616852731993
box,0.0014764661166315363
waste time,0.0014729413078031243
meri problem,0.00147119308399729
nice,0.001470990436377561
language,0.0014705404257923653
product return,0.0014568335137131168
needs,0.0014566191356656715
details,0.0014563645688823374
product shopzilla,0.0014494461212771774
look,0.0014338657398523696
member,0.001421961865942358
come,0.001419643171522659
delivery partner,0.0014178077893819494
sale,0.0014105412388793104
correct,0.0014070509667525708
responsibility,0.0014063689772430368
asking,0.0014015400973139244
bank,0.001395321401075036
shopzilla delivery,0.0013913294827991708
review,0.0013910233788918844
product missing,0.0013804973721804436
nhi,0.0013792553358927295
type,0.0013720096282105174
fault,0.0013674602139735791
frustrated,0.0013658111101695382
shopzilla support,0.0013647470770771011
multiple,0.0013577437035710422
helping,0.0013521629839536855
representative,0.0013483395456529857
product received,0.0013419122356022888
center,0.0013392803712956752
mobile,0.0013384666440918085
hours,0.0013284170540508212
broken,0.0013245113352861595
class,0.0013234998403592534
interaction,0.00131592176636432
using,0.0013147975447288152
nahi,0.0013104069043244244
expected,0.0013081300073868184
hard,0.0012997309846571716
support executive,0.0012978136430998348
status,0.0012960678396193705
aur,0.0012910082255766372
returnable,0.0012909734953439934
shopzilla worst,0.0012900774940587455
kiya,0.001288370047264424
extremely,0.001284783800603732
minutes,0.0012835232281554066
hear,0.0012746018647913377
polite,0.0012714149007980401
long time,0.0012687158256944873
ke,0.0012665944312915491
delivery executive,0.0012562852078120753
suffering,0.0012539549274275864
quality products,0.0012455932104221171
matter,0.0012427907901435388
invoice,0.0012322153305817172
trust,0.0012295442169638095
replace,0.0012234592735723782
purchasing,0.001219111879208685
making fool,0.0012114834787496198
refund money,0.0012025905269674965
receiving,0.0011983861889219053
package,0.0011980530010990004
extra,0.0011973091802646018
kind,0.0011944540608646503
asked,0.0011814736526061865
updated,0.0011760534444018702
defective product,0.0011759371397705653
happened,0.0011690090996023645
listen,0.0011681658666501899
open box,0.0011672618973138666
shopzilla team,0.001162332234604199
automatically,0.0011607805386491764
wrong item,0.0011584707373025497
parcel,0.0011550045263715397
rejected,0.0011469325668502345
offer,0.0011458979651193212
message,0.001141808779334198
face,0.0011383035398008158
life,0.0011254098558766605
yesterday,0.0011245796048000166
picked,0.0011240210894354471
things,0.001123534891925564
atleast,0.0011105642544184645
received wrong,0.0010969839711281726
second,0.0010961363504693204
order cancel,0.0010936669044167536
order delivery,0.0010703275598801121
order shopzilla,0.0010661696786966085
gets,0.001064671033254543
court,0.0010629203725395957
add,0.0010619668467228079
man,0.001056172728403082
otp,0.00105225821998721
strict,0.0010462757867281884
shown,0.0010450910066335376
actually,0.0010388812315611452
denied,0.0010366780487812016
plus member,0.001034716580039025
ne,0.0010329150399892382
accept,0.0010296676311172318
value,0.0010263113719942833
connect,0.0010232820782895813
tv,0.0010207690987523886
koi,0.0010203939948995743
took,0.0010163559545862243
mujhe,0.001015969199330064
mere,0.0010092728003669752
office,0.000992731053430769
old,0.000984636433264166
line,0.0009841237141404251
image,0.0009723989911770616
buy product,0.000962281561862181
telling,0.0009565193549373874
24,0.0009513121774505747
box delivery,0.0009493669376083688
delivery date,0.0009382754039935629
paid,0.0009368270212567117
shopzilla seller,0.0009282712510529274
returns,0.0009178493614428216
shop,0.0009177657899932996
kr,0.0009144560549998603
consumer court,0.0008822765524642631
july,0.0008672325449402314
canceled,0.0008629087560498735
colour,0.00084906385389134
bought,0.0008479622777397637
na,0.0008423794062671242
small,0.0008405964878601104
2023,0.0008365570283934262
shopzilla app,0.0008321892274888625
authority,0.0008269595949984341
baar,0.0007545102879159805
worst worst,0.000673599765832951
